poll_time,window_end_epoch,secs_left,side,best_ask_price,best_ask_size,best_bid_price,best_bid_size,n_asks,n_bids,is_target_scenario
1788633446.4870312,1788633600,153.5,Down,0.5,621.5,0.49,168.39,50,49,False
1788633449.7935069,1788633600,150.2,Up,0.51,168.39,0.5,621.5,49,50,False
1788633449.7935069,1788633600,150.2,Down,0.5,621.5,0.49,168.39,50,49,False
1788633453.117498,1788633600,146.9,Up,0.51,168.39,0.5,621.5,49,50,False
1788633453.117498,1788633600,146.9,Down,0.5,621.5,0.49,168.39,50,49,False
1788633456.3517942,1788633600,143.6,Up,0.51,168.39,0.5,621.5,49,50,False
1788633456.3517942,1788633600,143.6,Down,0.5,621.5,0.49,168.39,50,49,False
1788633459.603657,1788633600,140.4,Up,0.51,168.39,0.5,621.5,49,50,False
1788633459.603657,1788633600,140.4,Down,0.5,621.5,0.49,168.39,50,49,False
1788633462.929596,1788633600,137.1,Up,0.51,138.97,0.5,621.5,49,50,False
1788633462.929596,1788633600,137.1,Down,0.5,621.5,0.49,138.97,50,49,False
1788633466.2662776,1788633600,133.7,Up,0.51,109.55,0.5,621.5,49,50,False
1788633466.2662776,1788633600,133.7,Down,0.5,621.5,0.49,109.55,50,49,False
1788633469.6036677,1788633600,130.4,Up,0.51,109.55,0.5,621.5,49,50,False
1788633469.6036677,1788633600,130.4,Down,0.5,621.5,0.49,109.55,50,49,False
1788633472.9199278,1788633600,127.1,Up,0.51,109.55,0.5,621.5,49,50,False
1788633472.9199278,1788633600,127.1,Down,0.5,621.5,0.49,109.55,50,49,False
1788633476.2477245,1788633600,123.8,Up,0.51,109.55,0.5,621.5,49,50,False
1788633476.2477245,1788633600,123.8,Down,0.5,621.5,0.49,109.55,50,49,False
1788633479.5781987,1788633600,120.4,Up,0.51,109.55,0.5,613.5,49,50,False
1788633479.5781987,1788633600,120.4,Down,0.5,613.5,0.49,109.55,50,49,False
1788633482.7345119,1788633600,117.3,Up,0.51,109.55,0.5,613.5,49,50,False
1788633482.7345119,1788633600,117.3,Down,0.5,613.5,0.49,109.55,50,49,False
1788633486.118447,1788633600,113.9,Up,0.51,109.55,0.5,15,49,50,False
1788633486.118447,1788633600,113.9,Down,0.5,15,0.49,109.55,50,49,False
1788633489.4475005,1788633600,110.6,Up,0.51,109.55,0.5,15,49,50,False
1788633489.4475005,1788633600,110.6,Down,0.5,15,0.49,109.55,50,49,False
1788633492.7649355,1788633600,107.2,Up,0.51,109.55,0.5,15,49,50,False
1788633492.7649355,1788633600,107.2,Down,0.5,15,0.49,109.55,50,49,False
1788633496.0163364,1788633600,104.0,Up,0.51,109.55,0.5,15,49,50,False
1788633496.0163364,1788633600,104.0,Down,0.5,15,0.49,109.55,50,49,False
1788633499.3493793,1788633600,100.7,Up,0.51,109.55,0.5,15,49,50,False
1788633499.3493793,1788633600,100.7,Down,0.5,15,0.49,109.55,50,49,False
1788633502.67515,1788633600,97.3,Up,0.51,109.55,0.5,15,49,50,False
1788633502.67515,1788633600,97.3,Down,0.5,15,0.49,109.55,50,49,False
1788633505.9836042,1788633600,94.0,Up,0.51,219.55,0.5,15,49,50,False
1788633505.9836042,1788633600,94.0,Down,0.5,15,0.49,219.55,50,49,False
1788633509.2273595,1788633600,90.8,Up,0.51,219.55,0.5,15,49,50,False
1788633509.2273595,1788633600,90.8,Down,0.5,15,0.49,219.55,50,49,False
1788633512.460566,1788633600,87.5,Up,0.51,219.55,0.5,10.91,49,50,False
1788633512.460566,1788633600,87.5,Down,0.5,10.91,0.49,219.55,50,49,False
1788633515.7895148,1788633600,84.2,Up,0.51,219.55,0.5,10.91,49,50,False
1788633515.7895148,1788633600,84.2,Down,0.5,10.91,0.49,219.55,50,49,False
