sample,price,won
oos,0.99,True
oos,0.94919,True
oos,0.96,True
oos,0.92,True
oos,0.99,True
oos,0.99,True
oos,0.97,True
oos,0.9299999117,True
oos,0.9899999991,True
oos,0.98,True
oos,0.96,True
oos,0.9699999951,True
oos,0.9299997117,True
oos,0.95,True
oos,0.98,True
oos,0.9399999624,True
oos,0.9989999517,True
oos,0.91,True
oos,0.949999901,True
oos,0.93,True
oos,0.92,True
oos,0.9199999963,True
oos,0.9699999993,True
oos,0.98,True
oos,0.92,True
oos,0.97,True
oos,0.9979999673,True
oos,0.99,True
oos,0.95,True
oos,0.9699999961,True
oos,0.99,True
oos,0.99,True
oos,0.95,True
oos,0.9699999904,True
oos,0.95,True
oos,0.95,True
oos,0.9233333333,True
oos,0.95,True
oos,0.94,True
oos,0.9699999995,True
oos,0.96,True
oos,0.95,True
oos,0.9599996544,True
oos,0.99,True
oos,0.9499999658,True
oos,0.92,True
oos,0.91,True
oos,0.91,True
oos,0.97,True
oos,0.9813756413,True
oos,0.94,True
oos,0.99,True
oos,0.91,True
oos,0.95,True
oos,0.9,True
oos,0.99,True
oos,0.97,True
oos,0.95,True
oos,0.99,True
oos,0.93,True
oos,0.99,True
oos,0.9299999888,True
oos,0.99,True
oos,0.99,True
oos,0.97,True
oos,0.99,True
oos,0.93,True
oos,0.97,True
oos,0.9523412715,True
oos,0.9199999043,True
oos,0.9699999952,True
