secs_before,bucket,n,win_rate,implied_mid,edge,se,z
270,0.65,405,0.7012345679012346,0.675,0.026234567901234573,0.022744129546840547,1.1534654622506268
120,0.9,503,0.9363817097415507,0.925,0.011381709741550616,0.010882620010654797,1.0458611740929278
150,0.9,500,0.936,0.925,0.01100000000000001,0.01094568408095172,1.0049623137893056
30,0.8500000000000001,176,0.8977272727272727,0.8750000000000001,0.022727272727272596,0.02283998394573917,0.9950651796107064
120,0.8,407,0.8402948402948403,0.8250000000000001,0.015294840294840184,0.018158422529733334,0.8423000549632433
150,0.8,407,0.8402948402948403,0.8250000000000001,0.015294840294840184,0.018158422529733334,0.8423000549632433
60,0.55,188,0.5478723404255319,0.5750000000000001,-0.027127659574468166,0.036298719207093745,-0.7473448145566164
90,0.55,188,0.5478723404255319,0.5750000000000001,-0.027127659574468166,0.036298719207093745,-0.7473448145566164
180,0.5,758,0.5131926121372031,0.525,-0.011807387862796892,0.018154495107062185,-0.6503837090023926
210,0.5,761,0.5137976346911958,0.525,-0.011202365308804252,0.018118083447249123,-0.6182974783961
270,0.5,1554,0.5180180180180181,0.525,-0.006981981981981966,0.012675419087822383,-0.5508284920290916
60,0.5,385,0.5116883116883116,0.525,-0.013311688311688386,0.025475395992225893,-0.5225311636274702
90,0.5,385,0.5116883116883116,0.525,-0.013311688311688386,0.025475395992225893,-0.5225311636274702
180,0.7000000000000001,458,0.7139737991266376,0.7250000000000001,-0.01102620087336248,0.021115983168415495,-0.522173217577435
180,0.75,432,0.7847222222222222,0.775,0.009722222222222188,0.01977496407338823,0.4916429777642771
210,0.75,432,0.7847222222222222,0.775,0.009722222222222188,0.01977496407338823,0.4916429777642771
90,0.65,216,0.6898148148148148,0.675,0.014814814814814725,0.03147385276325484,0.47070229775335154
60,0.9,588,0.9200680272108843,0.925,-0.004931972789115724,0.011183598634926756,-0.4410005178219653
150,0.7000000000000001,404,0.7153465346534653,0.7250000000000001,-0.009653465346534773,0.02245048842953341,-0.42998910143245384
60,0.65,215,0.6883720930232559,0.675,0.013372093023255816,0.031587159193367687,0.4233395267170318
210,0.7000000000000001,452,0.7168141592920354,0.7250000000000001,-0.008185840707964687,0.021191897158016473,-0.38627219861097456
150,0.6000000000000001,336,0.6339285714285714,0.6250000000000001,0.008928571428571286,0.026280488969226072,0.33974144997935407
120,0.7000000000000001,407,0.7174447174447175,0.7250000000000001,-0.007555282555282594,0.022317663857084277,-0.3385337553098922
120,0.6000000000000001,333,0.6336336336336337,0.6250000000000001,0.008633633633633564,0.026403092227327844,0.3269932763669834
240,0.6000000000000001,647,0.6306027820710973,0.6250000000000001,0.005602782071097212,0.018974599197526792,0.29527801946022114
180,0.65,495,0.6808080808080809,0.675,0.005808080808080818,0.020952492579209166,0.2772023799136952
60,0.75,266,0.7819548872180451,0.775,0.006954887218045047,0.025317639365857594,0.27470520128445086
150,0.5,488,0.5307377049180327,0.525,0.0057377049180327155,0.02259112664446676,0.2539804680099056
150,0.8500000000000001,442,0.8710407239819005,0.8750000000000001,-0.0039592760180996445,0.015941691061716466,-0.24835985108303454
90,0.75,269,0.7806691449814126,0.775,0.005669144981412577,0.025229418057536392,0.2247037552940751
120,0.8500000000000001,444,0.8716216216216216,0.8750000000000001,-0.0033783783783785104,0.015875172577860013,-0.21280892297763723
270,0.6000000000000001,638,0.6285266457680251,0.6250000000000001,0.003526645768024972,0.019130016351061537,0.18435142465674245
90,0.9,585,0.9230769230769231,0.925,-0.0019230769230769162,0.011017151908298965,-0.17455300054711118
180,0.8500000000000001,230,0.8782608695652174,0.8750000000000001,0.003260869565217317,0.021560704448821136,0.15124132761792067
210,0.65,497,0.6780684104627767,0.675,0.0030684104627766162,0.020957542650660303,0.14641079414336494
240,0.55,1075,0.5730232558139535,0.5750000000000001,-0.001976744186046542,0.01508634386673667,-0.1310287107007413
30,0.5,227,0.5286343612334802,0.525,0.0036343612334801545,0.03313170044321319,0.10969437683131744
210,0.8500000000000001,228,0.8771929824561403,0.8750000000000001,0.002192982456140191,0.021736606481725974,0.10088890637017502
270,0.55,1067,0.5735707591377694,0.5750000000000001,-0.0014292408622306185,0.015140310445125687,-0.09439970649285809
240,0.5,1512,0.5238095238095238,0.525,-0.0011904761904761862,0.012844025297026778,-0.09268715709799838
120,0.5,488,0.5266393442622951,0.525,0.0016393442622950616,0.022601789123712673,0.07253161479040361
120,0.55,338,0.5769230769230769,0.5750000000000001,0.0019230769230768052,0.02687263627897182,0.07156264473320906
60,0.7000000000000001,271,0.7232472324723247,0.7250000000000001,-0.0017527675276753918,0.02717720129237967,-0.0644940407519761
210,0.8,362,0.8259668508287292,0.8250000000000001,0.00096685082872916,0.019927050118144742,0.04851951608476088
180,0.8,364,0.8241758241758241,0.8250000000000001,-0.0008241758241759323,0.019952556022048432,-0.04130677910465118
150,0.55,342,0.5760233918128655,0.5750000000000001,0.0010233918128654818,0.02672255349319538,0.0382969319577217
90,0.7000000000000001,273,0.7252747252747253,0.7250000000000001,0.0002747252747251627,0.02701588856562866,0.010169026055085443
